,Name,Description,One-Handed Damage,Two-Handed Damage,Main Damage Type,Extra Damage,Extra Damage Type,Type,Rarity,Enchantment,Wielding-Type,Throwable,Dippable,Extra Reach,Light,Melee/Range,Weight,Price,Special Attribute 1,Special Attribute 2,Special Attribute 3,Special Attribute 4,Action 1,Action 2,Action 3,Action 4,Special Action 1,Special Action 2,Special Action 3,Special Action 4,Location,Img url,UID,UUID
144,Blackguard's Sword,Blackguard's Sword is a rare +2 Longsword that possibly Dazes targets that have been Smited by the wielder.,1d8 + 2 (3~10) + Strength modifier,1d10 + 2 (3~12) + Strength modifier,Slashing damage,1d4 (1~4),Necrotic damage,Longswords,Rare,+2,Versatile,False,False,False,False,1.5m / 5 ft,1.35kg / 2.7lb,250 gp,"Dazing Smite: On a hit infused with one of your Smites, the target must succeed a Constitution saving throw or become Dazed.",,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,,,,,"Looted from the undead guardian, That Which Guards, in the Murder Tribunal.",https://bg3.wiki/w/images/thumb/6/6e/Blackguard%27s_Sword_Icon.png/300px-Blackguard%27s_Sword_Icon.png,MAG_OB_Paladin_DeathKnight_Longsword,0a11f6f4-5605-4dff-a3e6-b172e4dba555
145,Blade of Oppressed Souls,"Blade of Oppressed Souls is a rare, lightly enchanted (+1) variant of the Longswords family of weapons. It is a martial melee weapon that can be wielded in one hand, or with both hands for extra damage.",1d8 + 1 (2~9) + Strength modifier,1d10 + 1 (2~11) + Strength modifier,Slashing damage,1d4 (1~4),Psychic damage,Longswords,Rare,+1,Versatile,False,True,False,False,1.5m / 5 ft,1.35kg / 2.7lb,250 gp,,,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,"Crowning Strike: Unleash the wails of the dead that fell to your blade, and possibly instil Crown of Madness in the target.",,,,"Looted from area unlocked by the Necrotic Laboratory puzzle in the Mind Flayer Colony. A second can be found in the Watch Citadel in The High Hall, on a table of goods owned by Koll.",https://bg3.wiki/w/images/thumb/8/89/Longsword_%2B1_Icon.png/300px-Longsword_%2B1_Icon.png,MAG_Illithid_MindOverload_Weapon_Longsword,0a024202-84d0-4466-a958-76b2a163781c
146,Cruel Sting,Cruel Sting is a rare +1 Longsword that deals extra Poison damage against Restrained targets if the wielder is a drow elf. It also grants the Ensnaring Strands spell.,1d8 + 1 (2~9) + Strength modifier,1d10 + 1 (2~11) + Strength modifier,Slashing damage,,,Longswords,Rare,+1,Versatile,False,True,False,False,1.5m / 5 ft,1.35kg / 2.7lb,250 gp,Sting The Helpless: A drow elf wielding this weapon deals an additional 1d4Poison against restrained targets.,Ensnaring Strands: Cast as a level 1 spell (Recharge: Short rest).,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,,,,,Looted from Kar'niss in Shadow-Cursed Lands.,https://bg3.wiki/w/images/thumb/8/89/Longsword_%2B1_Icon.png/300px-Longsword_%2B1_Icon.png,MAG_Drowelf_SpiderSnare_Longsword,67ae6ce9-08fd-4ee7-9343-9a408f8ad9fa
147,Duke Ravengard's Longsword,"Duke Ravengard's Longsword is a rare, +1 Longsword that grants the wielder temporary hit points to allies equal to the wielder's Charisma modifier, and also increases the wielder's Charisma by +2.",1d8 + 1 (2~9) + Strength modifier,1d10 + 1 (2~11) + Strength modifier,Slashing damage,,,Longswords,Rare,+1,Versatile,False,False,False,False,1.5m / 5 ft,1.35kg / 2.7lb,250 gp,"Stirring Execution: When you kill an enemy, allies within 9m / 30ft gain temporary hit points equal to your Charisma Modifier (minimum 1).",Commander's Strike: Direct an ally to strike a foe. The ally uses a Reaction on their next turn to make a weapon attack. Once per Short Rest.,"Charisma +2 (up to 24, see notes)",,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,,,,,Looted from Duke Ulder Ravengard during the coronation in Wyrm's Rock Fortress.,https://bg3.wiki/w/images/thumb/2/2b/Longsword_PlusTwo_Icon.png/300px-Longsword_PlusTwo_Icon.png,MAG_WYRM_Commander_Longsword,06fbf04c-41be-4709-91df-76b4cbc9ccf5
148,Githyanki Longsword,"Githyanki Longsword is a common variant of the Longswords family of weapons. It is a martial melee weapon that can be wielded in one hand, or with both hands for extra damage.",1d8 (1~8) + Strength modifier,1d10 (1~10) + Strength modifier,Slashing damage,,,Longswords,Common,None,Versatile,False,True,False,False,1.5m / 5 ft,1.35kg / 2.7lb,40 gp,,,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,,,,,Found on weapon racks and equipped by numerous Githyanki in Crèche Y'llek.,https://bg3.wiki/w/images/thumb/2/20/Githyanki_Longsword_Icon.png/300px-Githyanki_Longsword_Icon.png,WPN_Longsword_Gith,907a794b-b089-406b-880d-6f2df2bb3f13
149,Katana,"Katana is an uncommon, lightly enchanted (+1) variant of the Longswords family of weapons. It is a martial melee weapon that can be wielded in one hand, or with both hands for extra damage.",1d8 + 1 (2~9) + Strength modifier,1d10 + 1 (2~11) + Strength modifier,Slashing damage,,,Longswords,Uncommon,+1,Versatile,False,True,False,False,1.5m / 5 ft,1.35kg / 2.7lb,55 gp,,,,,Flourish: Feint an attack to possibly throw your opponent Off Balance.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,,,,,"Lying on a table in Golbraith's Cellar, which can be accessed through a hatch in Golbraith's House X:-152Y:-55, which is right next to a manhole in the Lower City that leads to the Lower City Sewers. Another Katana can be found on a shelf behind Akabi in the Circus of the Last Days, but this one is not interactable.",https://bg3.wiki/w/images/thumb/8/8d/Katana_Icon.png/300px-Katana_Icon.png,WPN_HUM_Katana_A,7050c02e-f0e1-46b8-9400-2514805ecd2e
150,Larethian's Wrath,Larethian's Wrath is a rare +1 Longsword that grants the wielder the Razor Gale weapon action.,1d8 + 1 (2~9) + Strength or Dexterity modifier,1d10 + 1 (2~11) + Strength or Dexterity modifier,Slashing damage,,,Longswords,Rare,+1,Versatile,False,True,False,False,1.5m / 5 ft,1.35kg / 2.7lb,250 gp,,,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,Razor Gale: Swing your weapon in a cyclone of steel that deals razorblade-sharp damage to all enemies within range.,,,,Sold by A'jak'nir Jeera at Crèche Y'llek.,https://bg3.wiki/w/images/thumb/8/89/Longsword_%2B1_Icon.png/300px-Longsword_%2B1_Icon.png,MAG_Finesse_Longsword,56a7539c-7c5c-4c44-b8e0-5ff2e5beb4e9
151,Longsword,"Longsword is a mundane, nonmagical variant of the Longswords family of weapons. It is a martial melee weapon that can be wielded in one hand, or with both hands for extra damage.",1d8 (1~8) + Strength modifier,1d10 (1~10) + Strength modifier,Slashing damage,,,Longswords,Common,None,Versatile,False,True,False,False,1.5m / 5 ft,1.35kg / 2.7lb,40 gp,,,,,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,,Starting equipment for fighter.,https://bg3.wiki/w/images/thumb/5/50/Longsword_Icon.png/300px-Longsword_Icon.png,WPN_HUM_Longsword_A_0,1865323f-b428-4791-a0a9-578841e57463
152,Longsword +1,"Longsword +1 is an uncommon, lightly enchanted (+1) variant of the Longswords family of weapons. It is a martial melee weapon that can be wielded in one hand, or with both hands for extra damage.",1d8 + 1 (2~9) + Strength modifier,1d10 + 1 (2~11) + Strength modifier,Slashing damage,,,Longswords,Uncommon,+1,Versatile,False,True,False,False,1.5m / 5 ft,1.35kg / 2.7lb,55 gp,,,,,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,,,,,,Has a chance to be sold by any trader using the magic melee table each time the player resets trader's inventories by long resting or levelling up.,https://bg3.wiki/w/images/thumb/8/89/Longsword_%2B1_Icon.png/300px-Longsword_%2B1_Icon.png,WPN_HUM_Longsword_A_1,3fc2ba50-3070-4caa-abe8-3bf885969bde
153,Longsword +2,"Longsword +2 is a rare, moderately enchanted (+2) variant of the Longswords family of weapons. It is a martial melee weapon that can be wielded in one hand, or with both hands for extra damage.",1d8 + 2 (3~10) + Strength modifier,1d10 + 2 (3~12) + Strength modifier,Slashing damage,,,Longswords,Rare,+2,Versatile,False,True,False,False,1.5m / 5 ft,1.35kg / 2.7lb,125 gp,,,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,,,,,"In the basement of the Forge of the Nine in the Lower City, laying against a wall X:399Y:767",https://bg3.wiki/w/images/thumb/2/2b/Longsword_PlusTwo_Icon.png/300px-Longsword_PlusTwo_Icon.png,WPN_HUM_Longsword_A_2,e3b2adb6-7493-466e-9c65-4281fb74e83f
154,Phalar Aluve,"Phalar Aluve is a rare +1 Longsword that can be made to Sing or Shriek, granting nearby allies or enemies a bonus to Attack Rolls or damage or damage rolls, depending on the choice.",1d8 + 1 (2~9) + Strength or Dexterity modifier,1d10 + 1 (2~11) + Strength or Dexterity modifier,Slashing damage,,,Longswords,Rare,+1,Versatile,False,True,False,False,1.5m / 5 ft,1.35kg / 2.7lb,250 gp,Performance +1,"Phalar Aluve: Melody: The sword hums in anticipation, ready to Sing or Shriek. Effect ends when Phalar Aluve is unequipped.",,,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,,,,,,"This weapon can be found stabbed into a rock in the Underdark X:116Y:-192 and can be freed by passing either a:  DC 15 Strength check to yank it from the stone. DC 15 Religion check to learn how to release the magic holding it in place. Paladin: DC 10 Religion check (with advantage) to consider what the appropriate ritual for releasing the sword. If successful, a Paladin can perform the ritual or use your oath to prove your work (DC 10 Charisma check). Alternately, a Cleric of Eilistraee can release the sword without needing an ability check. Finally, spilling blood on the sword can also release the sword without an ability check (for example with Ritual Dagger).",https://bg3.wiki/w/images/thumb/8/89/Longsword_%2B1_Icon.png/300px-Longsword_%2B1_Icon.png,S_UND_SwordInStone_SwordReward,6d0d3206-50b5-48ed-af92-a146ed6b98f2
155,Render of Scrumptious Flesh,"Render of Scrumptious Flesh is a rare, moderately enchanted (+2) variant of the Longswords family of weapons. It is a martial melee weapon that can be wielded in one hand, or with both hands for extra damage.",1d8 + 2 (3~10) + Strength modifier,1d10 + 2 (3~12) + Strength modifier,Slashing damage,1d4 (1~4),Necrotic damage,Longswords,Rare,+2,Versatile,False,False,False,False,1.5m / 5 ft,1.35kg / 2.7lb,250 gp,,,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,"Part the Flesh: Thrust forward with diabolical precision, possibly stymying your target's ability to heal.",,,,,https://bg3.wiki/w/images/thumb/e/ec/Shattered_Condition_Icon.webp/35px-Shattered_Condition_Icon.webp.png,5c41bb72-9a50-4d98-a12a-0de374c43f19,5c41bb72-9a50-4d98-a12a-0de374c43f19
156,Sword of the Emperor,Sword of the Emperor is a rare +2 Longsword that grants bonus damage against shapeshifted or polymorphed creatures and enhances the wielder's defences against spells.,1d8 + 2 (3~10) + Strength modifier,1d10 + 2 (3~12) + Strength modifier,Slashing damage,,,Longswords,Rare,+2,Versatile,False,False,False,False,1.5m / 5 ft,1.35kg / 2.7lb,250 gp,Shapeshifter Slayer: This weapon deals an additional 1d4 damage against shapeshifters or polymorphed creatures.,Magical Durability: The wielder has a +2 bonus to Saving throws against spells.,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,,,,,"Located inside the hidden room in the Knights of the Shield Hideout under the Elfsong Tavern X:728Y:588, during the quest Visit the Emperor's Old Hideout.",https://bg3.wiki/w/images/thumb/8/89/Longsword_%2B1_Icon.png/300px-Longsword_%2B1_Icon.png,LOW_Elfsong_EmperorSword_LongSword,777cb3d5-0689-4cfd-9719-b460897cb9e6
157,Voss' Silver Sword,"Voss' Silver Sword is a very rare +2 Longsword enhanced with additional Psychic damage. Also, it grants a bonus to damage and Attack Rolls against githyanki, aberrations, fiends and elementals and grants the wearer the ability to cast the Wrathful Smite spell.",1d8 + 2 (3~10) + Strength modifier,1d10 + 2 (3~12) + Strength modifier,Slashing damage,1d4 (1~4),Psychic damage,Longswords,Very Rare,+2,Versatile,False,True,False,False,1.5m / 5 ft,1.35kg / 2.7lb,630 gp,"Interplanar Slayer: This weapon grants a +1d4 bonus to Damage and Attack rolls against githyanki, aberrations, fiends, and elementals.",Wrathful Smite: Cast as a level 1 spell (Recharge: Long rest).,,,Pommel Strike: Make a non-lethal attack against an enemy and possibly Daze them.,Lacerate: Slash at your target's vital points to make it Bleed. Some Undead and Constructs can't suffer Bleeding.,"Rush Attack: Charge forward and attack the first enemy in your way, possibly pushing them Off Balance.",,,,,,"Looted from Kith'rak Voss if killed late into Act 1, or if killed during the final section of the game. Can be pickpocketed from Voss during Act 3. Prior to Patch 6 it could be purchased from him during Act 3, but this is no longer the case.",https://bg3.wiki/w/images/thumb/0/0e/Voss%27_Silver_Sword_Faded.png/300px-Voss%27_Silver_Sword_Faded.png,MAG_Primeval_Silver_Longsword,20c66f8d-f455-42fc-8e48-543512247e75
158,Adamantine Mace,Adamantine Mace is a rare +1 Mace that automatically critical hits objects and ignores Resistance to Bludgeoning damage.,1d6 + 1 (2~7) + Strength modifier,,Bludgeoning damage,,,Maces,Rare,+1,One-Handed,False,True,False,False,1.5m / 5 ft,1.9kg / 3.8lb,190 gp,"Diamondsbane: If an adamantine weapon hits an object, the hit is always critical.",Lethal Weapon: This weapon ignores resistance to Bludgeoning damage.,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,The Adamantine Mace can be forged in the Adamantine Forge with a Mace Mould and Mithral Ore.,https://bg3.wiki/w/images/thumb/9/92/Adamantine_Mace_Icon.png/300px-Adamantine_Mace_Icon.png,WPN_HUM_Mace_Adamantine_A,df08ec01-52f0-4fdf-b5e7-4fa0970a480a
159,Crude Mace,Crude Mace is a common variant of the Maces family of weapons. It is a simple melee weapon wielded in one hand.,1d6 (1~6) + Strength modifier,,Bludgeoning damage,,,Maces,Common,None,One-Handed,False,True,False,False,1.5m / 5 ft,1.8kg / 3.6lb,30 gp,,,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,Sold by Grat in the Goblin Camp and also found carried by goblins throughout act one. Can be found on Shadowheart following the crash in Act One if she falls Unconscious prior to the crash or her starting mace is removed from her inventory (such as moved to another character)..,https://bg3.wiki/w/images/thumb/8/88/Crude_Mace_Faded.png/300px-Crude_Mace_Faded.png,WPN_GOB_Mace_A,7ebf3d2b-39ff-4a18-9114-4d09d17f432f
160,Devotee's Mace,"The Devotee's Mace is a legendary, +3 Mace that deals extra Radiant damage on hit, and can create a healing aura that heals the wielder and nearby allies.",1d6 + 3 (4~9) + Strength modifier,,Bludgeoning damage,1d8 (1~8),Radiant damage,Maces,Legendary,+3,One-Handed,False,True,False,False,1.5m / 5 ft,1.8kg / 3.6lb,640 gp,"Healing Incense Aura: Emanating a soothing aura, You and nearby allies regain 1d4hit points at the start of your turn for 10 turns (Recharge: Long rest).",,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,Backbreaker: Put extra force behind your strike to possibly knock your enemy Prone.,,,,,,,"Healing Incense Aura Duration: 10 turns  Applies Healing Incense to affected entity and allies within Range:10m / 30ft, regaining 1d4hit points per turn.",https://bg3.wiki/w/images/thumb/f/ff/Devotee%27s_Mace_Faded.webp/300px-Devotee%27s_Mace_Faded.webp.png,MAG_Cleric_Devotees_Mace,f8578a13-a857-4043-91e4-8101c9e7c004
161,Handmaiden's Mace,Handmaiden's Mace is a very rare +2 Mace that sets the wielder's Strength to 18.,1d6 + 2 (3~8) + Strength modifier,,Bludgeoning damage,1d6 (1~6),Poison damage,Maces,Very Rare,+2,One-Handed,False,False,False,False,1.5m / 5 ft,1.8kg / 3.6lb,480 gp,Set the wearer's Strength score to 18. The enchantment has no effect if their Strength score is higher without it.,,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,Dropped by Viconia DeVir X:-400Y:-1651 in the Cloister of Sombre Embrace beneath the House of Grief.,https://bg3.wiki/w/images/thumb/b/b5/Mace_PlusTwo_Icon.png/300px-Mace_PlusTwo_Icon.png,MAG_Viconia_Mace,c31d6b30-2377-4e3c-a602-d5d527defc11
162,Loviatar's Scourge,"Loviatar's Scourge is an uncommon Mace that grants the wielder resistance to Necrotic damage. It also deals additional Necrotic damage to all nearby creatures, including the wielder.",1d6 (1~6) + Strength modifier,,Bludgeoning damage,1d6 (1~6),Necrotic damage,Maces,Uncommon,None,One-Handed,False,True,False,False,1.5m / 5 ft,1.8kg / 3.6lb,370 gp,"Willing Whip: Grants Resistance to Necrotic, and deals additional 1d6Necrotic damage to everyone nearby including the wielder.",,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,Carried by Abdirak in the Shattered Sanctum.,https://bg3.wiki/w/images/thumb/5/51/Mace_PlusOne_Icon.png/300px-Mace_PlusOne_Icon.png,WPN_GOB_PainPriest_Scourge,b1dc33ba-c595-4036-9683-26635f297e44
163,Mace,Mace is a common variant of the Maces family of weapons. It is a simple melee weapon wielded in one hand.,1d6 (1~6) + Strength modifier,,Bludgeoning damage,,,Maces,Common,None,One-Handed,False,True,False,False,1.5m / 5 ft,1.8kg / 3.6lb,30 gp,,,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,Starting equipment for cleric.,https://bg3.wiki/w/images/thumb/4/49/Mace_Icon.png/300px-Mace_Icon.png,WPN_HUM_Mace_A_0,3186796d-3ab3-4d49-bfc2-cba1aff0cf5a
164,Mace +1,"Mace +1 is an uncommon, lightly enchanted (+1) variant of the Maces family of weapons. It is a simple melee weapon wielded in one hand.",1d6 + 1 (2~7) + Strength modifier,,Bludgeoning damage,,,Maces,Uncommon,+1,One-Handed,False,True,False,False,1.5m / 5 ft,1.8kg / 3.6lb,40 gp,,,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,Has a chance to be sold by any trader using the magic melee table each time the player resets trader's inventories by long resting or levelling up.,https://bg3.wiki/w/images/thumb/5/51/Mace_PlusOne_Icon.png/300px-Mace_PlusOne_Icon.png,WPN_HUM_Mace_A_1,5a948b12-ca43-4256-9821-0d151036dbd1
165,Shattered Flail,Shattered Flail is a rare +2 Mace that heals the wielder when they hit an enemy - at the cost of potentially going mad when they stop attacking.,1d6 + 2 (3~8) + Strength modifier,,Bludgeoning damage,,,Maces,Rare,+2,One-Handed,False,True,False,False,1.5m / 5 ft,1.8kg / 3.6lb,190 gp,Yeenoghu's Gift: Hitting an enemy with this weapon heals the wielder for 1d6hit points - but they can go Mad if they don't continue hitting an enemy each turn.,,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,"Dropped by the Flind, 'leader' of the group of Gnolls attacking the Zhentarim caravan on The Risen Road.",https://bg3.wiki/w/images/thumb/c/cf/Shattered_Flail_Icon.png/300px-Shattered_Flail_Icon.png,UNI_PLA_ConflictedFlind_Flail_Broken,8a527abd-a2ff-4267-a067-d26bdf6742ee
166,The Blood of Lathander,"The Blood of Lathander is a legendary +3 Mace found through the Find the Blood of Lathander quest. It continuously sheds light, blinds nearby Fiends and Undead with its light, can heal its wielder, and allows the wielder to cast Sunbeam.",1d6 + 3 (4~9) + Strength modifier,,Bludgeoning damage,,,Maces,Legendary,+3,One-Handed,False,True,False,False,1.5m / 5 ft,1.8kg / 3.6lb,640 gp,"Lathander's Blessing: Once per Long Rest, when your hit points are reduced to 0, you regain 2d6hit points. Allies within 9m / 30ft also regain 1d6hit points.","Lathander's Light: Sheds holy light in a 6m / 20ft radius. In combat, fiends and undead standing in the light are Blinded if they fail a DC 14 Constitution throw.",Sunbeam: Cast as a level 6 spell (Recharge: Long rest).,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,"Found in Crèche Y'llek, unlocked by following the Find the Blood of Lathander quest.",https://bg3.wiki/w/images/thumb/f/f5/The_Blood_of_Lathander_Icon.png/300px-The_Blood_of_Lathander_Icon.png,WPN_HUM_Sun_Mace_Lathander_Blood_A_Glow,7b961f08-46c1-46b1-99bc-c59283831a0b
167,Xyanyde,"Xyanyde is an uncommon +1 Mace that applies Faerie Fire on targets that the wielder misses, once per Short Rest.",1d6 + 1 (2~7) + Strength modifier,,Bludgeoning damage,,,Maces,Uncommon,+1,One-Handed,False,True,False,False,1.5m / 5 ft,1.8kg / 3.6lb,330 gp,"Xyanyde's Fire: Once per Short Rest, you can encase a target in Faerie Fire for 2 turns if you miss an attack against it.",,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,"Dropped by Minthara in the Shattered Sanctum (X:332, Y:43). Does not have it on her after Act 1",https://bg3.wiki/w/images/thumb/5/51/Mace_PlusOne_Icon.png/300px-Mace_PlusOne_Icon.png,GOB_DrowCommander_Mace,4b0131e0-875a-4f3c-8b41-dbf653857d00
168,Ceremonial Mace,"Ceremonial Mace is an uncommon, lightly enchanted (+1) variant of the Maces family of weapons. It is a simple melee weapon wielded in one hand.",1d6 + 1 (2~7) + Strength modifier,,Bludgeoning damage,,,Maces,Uncommon,+1,One-Handed,False,True,False,False,1.5m / 5 ft,1.8kg / 3.6lb,40 gp,,,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,On a random kobold in the Rosymorn Monastery Firewine storage room.,https://bg3.wiki/w/images/thumb/5/51/Mace_PlusOne_Icon.png/300px-Mace_PlusOne_Icon.png,S_CRE_Abbot1_Weapon,5a948b12-ca43-4256-9821-0d151036dbd1
169,Infernal Mace,Infernal Mace is a rare +1 Mace that deals an extra 3 Poison damage and possibly Poisons the target on a hit.,1d6 + 2 (3~8) + Strength modifier,,Bludgeoning damage,3 ,Poison damage,Maces,Rare,+2,One-Handed,False,False,False,False,1.5m / 5 ft,1.8kg / 3.6lb,190 gp,"Infernal Weapon: On a hit, the affected entity deals an additional 3Poison damage and can possibly Poison its target.",,,,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,,,,,,,,"Looted from several Banite cultists throughout Chapter 3, including those found in the Steel Watch Foundry and at Felogyr's Fireworks.",https://bg3.wiki/w/images/thumb/5/51/Mace_PlusOne_Icon.png/300px-Mace_PlusOne_Icon.png,MAG_Infernal_Mace,8e13f737-40e5-4be5-817e-1c5d6199b08b
170,Doom Hammer,Doom Hammer is an uncommon maul that afflicts targets with Bone Chilled condition on each successful hit.,,2d6 (2~12) + Strength modifier,Bludgeoning damage,,,Mauls,Uncommon,None,Two-Handed,False,True,False,False,1.5m / 5 ft,4.5kg / 9lb,65 gp,Edge of Terror: Each strike fills the target with a chilling dread that prevents it from regaining hit points. Undead creatures also get Disadvantage on Attack rolls.,,,,Backbreaker: Put extra force behind your strike to possibly knock your enemy Prone.,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,"Tenacity: When you miss an attack, deal Bludgeoning damage equal to your Strength modifier anyway (minimum of 1).",,,,,,"Bone Chilled Duration: 2 turns  Can not regain hit points. If Undead, has Disadvantage on Attack rolls.",https://bg3.wiki/w/images/thumb/0/00/Maul_PlusOne_Icon.png/300px-Maul_PlusOne_Icon.png,UNI_DoomHammer,2f481fef-1877-4eac-820d-dc3210ff0b36
171,Foebreaker,Foebreaker is a very rare +2 maul that ignores Bludgeoning resistance of targets.,,2d6 + 2 (4~14) + Strength modifier,Bludgeoning damage,,,Mauls,Very Rare,+2,Two-Handed,False,True,False,False,1.5m / 5 ft,4.5kg / 9lb,480 gp,Lethal Weapon: This weapon ignores resistance to Bludgeoning damage.,,,,Backbreaker: Put extra force behind your strike to possibly knock your enemy Prone.,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,"Tenacity: When you miss an attack, deal Bludgeoning damage equal to your Strength modifier anyway (minimum of 1).",,,,,,"Can be found in a hidden chest in the Karsus section of Sorcerous Vault, Sorcerous Sundries. Once in the vault, upon finding the named doors, go through Silverhand -> Abjuration -> Silver to find a lever to unlock the Karsus vault door. Then go through Demon to return to the starting room and proceed through the opened Karsus door. The chest is invisible and will require See Invisibility or Faerie Fire to reveal it.",https://bg3.wiki/w/images/thumb/f/fa/Maul_PlusTwo_Icon.png/300px-Maul_PlusTwo_Icon.png,MAG_TheDestroyer_Maul,89eacf71-5bf6-4e7f-ac9d-e2d7d1d6bcb0
172,Hamarhraft,Hamarhraft is an uncommon maul that deals Thunder damage in an area around the wielder when they land a Jump.,,2d6 (2~12) + Strength modifier,Bludgeoning damage,,,Mauls,Uncommon,None,Two-Handed,False,True,False,False,1.5m / 5 ft,4.5kg / 9lb,65 gp,"Shockwave: When the wearer Jumps, they deal 1d4Thunder damage in a 3m / 10ft radius upon landing.",,,,Backbreaker: Put extra force behind your strike to possibly knock your enemy Prone.,Concussive Smash: Hit an enemy with all your might to deal damage and possibly Daze them.,"Tenacity: When you miss an attack, deal Bludgeoning damage equal to your Strength modifier anyway (minimum of 1).",,,,,,"Found in a gilded chest in one of the burning rooms on the top floor of the inn at Waukeen's Rest X:-85Y:631. This chest can be difficult to get to before the room becomes completely engulfed in flames, so it's recommended to approach in turn-based mode. One could also wait the fire out by completing a long rest or travelling to a different zone. Be cautious however, as waiting it out will complete the area's timed event and render many local NPCs and quests unavailable.",https://bg3.wiki/w/images/thumb/3/39/Hamarhraft_Icon.png/300px-Hamarhraft_Icon.png,MAG_Mobility_ExplosionOnJump_Maul,efb003c3-af98-43d7-bcf4-af29702fb531
